ticker,ann_return,ann_vol,sharpe,max_dd,alpha,beta,info_ratio,pct_positive,skewness
NVR,0.16820905567812794,0.1732791180109639,0.8741643738588841,-0.20766402573341816,0.11077686641294959,0.5635069732775986,0.41571727618971943,0.5932203389830508,0.05386419538491676
NXPI,0.27273475113581536,0.4091605449763319,0.74604549514911,-0.5772455805782053,0.15508405604485498,1.9645774437003307,0.6266328680417446,0.6101694915254238,0.25225525595236986
O,0.13647897914427576,0.20389983817209095,0.634571035414025,-0.24136035312112497,0.0987585036802825,0.4271957387973925,0.2292107133097544,0.5932203389830508,0.01520605967483923
ODFL,0.22883338237414685,0.23666781317053545,0.9090930801123616,-0.27110054721343,0.12011173276051967,1.2408075164919736,0.7061697851920472,0.576271186440678,0.46630988289950315
OKE,0.026747684127097937,0.2746618945546323,0.1588584768171733,-0.6233060751311863,-0.041530514733970736,1.054272135569403,-0.15439272495221953,0.5254237288135594,0.44955267114181857
OMC,0.1408217888960719,0.20511532560241827,0.6496435224307638,-0.263922390801739,0.012493344967341224,1.4816758392698586,0.4182363128249486,0.6271186440677966,0.3751578389110981
ON,-0.024120877879871605,0.3178471803298117,0.017841863421191685,-0.451871662299343,-0.12051719504219038,1.6359147515564372,-0.28673660786265165,0.4915254237288136,0.34615079114918956
ORCL,0.03821109000934286,0.20585849489221258,0.19058205279795626,-0.2840156909129792,-0.054858153385640596,1.1713269377842443,-0.2728264579071526,0.559322033898305,-0.35958285301505527
ORLY,0.3553564644807705,0.20245989144550947,1.5214976715245134,-0.20739326349724965,0.2959639514129073,0.5636677445745127,1.1431974870028496,0.711864406779661,0.18322083837017342
OXY,-0.034265317579722065,0.2757036220682244,-0.06466207465984361,-0.36803490985479104,-0.13526602663557774,1.5527960268475087,-0.4570248679003441,0.4745762711864407,0.841264666379077
PANW,0.3902659593516693,0.3306170238552304,1.1101202362997413,-0.34513817168271527,0.3175362028430495,0.8738099754867386,0.834196132409533,0.5609756097560976,0.14445918677576441
PAYX,0.14782594200261623,0.14856683430035122,0.8730260786018951,-0.1999400099041666,0.05827471067663459,0.8942931988727237,0.4527554640903267,0.5254237288135594,0.21126095412322865
PCAR,-0.00034830104291228015,0.27018212065913766,0.05671968384670547,-0.35867466130457115,-0.11066403532549984,1.6190668778377975,-0.3213924227941534,0.576271186440678,0.7186876607340885
PCG,0.07187089513659206,0.16640229310053087,0.3824203502127372,-0.14999324548943002,0.04537920426194053,0.23511897150084793,-0.09586386903850187,0.559322033898305,-0.14640256756389636
PEG,0.08205868174757658,0.15898126226414303,0.453534006599413,-0.13777908554566026,0.05750390279822781,0.19695633867473664,-0.05157305949649905,0.6271186440677966,-0.565019306341107
PEP,0.12697234145190373,0.11682572150110353,0.9169327184569626,-0.11623762634364643,0.07087142721555328,0.47152967099958437,0.2129147896338711,0.5932203389830508,-0.3128718564439076
PFE,0.16520060005298398,0.1535385771496626,0.9491043366602837,-0.16656853160594634,0.07570183952522935,0.8893831277549569,0.5639867864702369,0.6440677966101694,-0.06493641042369275
PFG,0.09679459470564944,0.2303983515238976,0.43164826793410527,-0.33829561554712245,-0.03447275860713772,1.6490755785334061,0.12145638146902477,0.5423728813559322,-0.11986239713664912
PG,0.08059459259838042,0.13676074091750187,0.49118542688485595,-0.20592150053915542,0.023470638666926558,0.5389753387143648,-0.10822798448782302,0.5423728813559322,0.2924230851750932
PGR,0.13899430244742228,0.16684688678891746,0.7488311927608089,-0.19051946428308697,0.06276980749255423,0.7836612229329928,0.3060814835461241,0.5932203389830508,-0.28877571917214573
PH,0.036415918901044675,0.2539081716794791,0.18563387928331976,-0.32677672386041967,-0.07950548094310128,1.590363768785548,-0.18471605260270826,0.5423728813559322,0.8415518752002733
PHM,0.18911449778250633,0.37061552315513074,0.6042608811682787,-0.5319906146417085,0.07888619645271855,1.8121396464341657,0.44686241258410503,0.576271186440678,-0.16768366998359385
PKG,0.2129502519155837,0.22782252747162796,0.8790026537482368,-0.25659053872224574,0.0900842560207269,1.3941385277955052,0.7158092789411784,0.559322033898305,0.10631838313779439
PLD,0.08828980378892326,0.23722075997088257,0.39474582889584986,-0.3374325980842343,-0.0184369379767928,1.3763042337296687,0.06722419352869863,0.5423728813559322,-0.27726671617173393
PM,0.13789097258650296,0.18809710404572813,0.6783650755374724,-0.15646165316952892,0.046603142584726864,1.0050636416406713,0.3133463277011117,0.5932203389830508,-0.03526268050259012
PNC,0.12435099983477671,0.15484910797991056,0.7100818854548057,-0.22598220863827062,0.035960686810399656,0.9144700229837965,0.2523914107768628,0.6779661016949152,-0.31046906605539537
PNR,0.08591627210466779,0.25853832020228634,0.36977886146597994,-0.36617532090409427,-0.010220008260720337,1.2982372506382198,0.06620299309211063,0.5423728813559322,0.3811331004437847
PNW,0.1424002053501887,0.15650176236496965,0.8063022421368494,-0.18161759950698267,0.10304064623018205,0.3398598208319467,0.262747482967551,0.5932203389830508,-0.015552743530789974
PODD,0.17612265545514139,0.3559426044495485,0.5925986241907667,-0.45360605550634103,0.11546790107874627,1.2404548343000128,0.3964819327951981,0.6440677966101694,-0.8561887910952817
POOL,0.2968108931808682,0.20638466350713436,1.2750460711916698,-0.13740031038355402,0.20455551070923095,0.9269082552668088,1.0323529724996114,0.6271186440677966,0.9353426326351616
PPG,0.211265658638921,0.221356638865319,0.8903606202899175,-0.24994972511090682,0.08257433978739015,1.4406335612762675,0.7564509413638688,0.6271186440677966,0.5193725890929664
PPL,0.12803270175477,0.13102590595988461,0.8388549023513263,-0.11024573683223458,0.09130814497557327,0.27242115300272696,0.1854969606756591,0.6949152542372882,-0.6545473996600655
PRU,0.08929163179282185,0.25196928302258703,0.39187718080413514,-0.2881665714077625,-0.033394154377058505,1.6267170446365904,0.09501277480588503,0.5932203389830508,-0.648340842040452
